Título;Autor;Precio;Orden mas vendidos;Genero
Sentir a contrallum;Ayala, Anna;150,00 €;1;Romántica
Pluja. Blackwater VI;McDowell, Michael;99,00 €;2;Novela negra, thriller o suspense.
L'herència del dimoni;Cussó, Biel;170,00 €;3;Ciencia ficción
La teranyina blaugrana;Vinton, Roger;205,00 €;4;Fantasía
La puresa de l'engany;Quintana, Gerard;215,00 €;5;Romántica
La teva salut comença aquí;Verdaguer, Xevi;219,00 €;6;Fantasía
Cremo!;Nicolau, Maria;239,00 €;7;Novela histórica
Una ombra blanca;Riera, Carme;219,00 €;8;Distopía
El miratge;Läckberg, Camilla/Fexeus, Henrik;239,00 €;9;Fantasía
La fortuna. Blackwater V;McDowell, Michael;99,00 €;10;Contemporáneo
Ments preclares;Monzó, Quim;169,00 €;11;Novela histórica
Dune;Herbert, Frank;239,00 €;12;Ciencia ficción
La ciutat i les seves muralles incertes;Murakami, Haruki;229,00 €;13;Novela negra, thriller o suspense.
Un animal salvatge;Dicker, Joël;239,00 €;14;
Aprendre a esquivar les bales;Coral, Xavi;21,90 €;15;Distopía
Tor: Foc encès;Porta, Carles;22,90 €;16;Romántica
Elogi del temps;Prats, Eduard;17,00 €;17;Aventuras
Vida de Teresina;Milán, Jordi/Vinyes, Pol;20,90 €;18;Ciencia ficción
Poesia completa I;Kavafis, Konstandinos P.;29,00 €;19;Fantasía
Tres mesos de vacances;Rossell, Neus;20,90 €;20;Ciencia ficción
A la foguera!;Vall i Duran, Carla;21,95 €;21;Aventuras
Assaig general;Busquets, Milena;17,95 €;22;Aventuras
Armand Obiols, d'una fredor que crema;Torra, Quim;21,90 €;23;Novela negra, thriller o suspense.
On és la Marta?;Cornet, Cesc;12,95 €;24;Novela histórica
La guerra. Blackwater IV;McDowell, Michael;9,90 €;25;Romántica
Mafalda. Totes les tires;Quino;22,90 €;26;Contemporáneo
Al bosc s'hi ha d'arribar quan encara és fosc;Arimany, Maria;18,00 €;27;Contemporáneo
Màtria o barbàrie;DDAA;18,50 €;28;
Història d'un piano;Gener, Ramon;22,90 €;29;Ciencia ficción
Els ulls de Mona;Schlesser, Thomas;23,90 €;30;Novela negra, thriller o suspense.
El Federal;Alzamora, Sebastià;20,50 €;31;Novela histórica
Ànimes mortes;Gogol, Nikolai;24,95 €;32;Romántica
Escrit al cos;Winterson, Jeanette;21,50 €;33;Novela histórica
El poema de la rosa als llavis;Salvat-Papasseit, Joan;16,90 €;34;Romántica
La casa. Blackwater III;McDowell, Michael;9,90 €;35;Contemporáneo
Ocàs i fascinació;Baltasar, Eva;18,50 €;36;Novela histórica
Conciliar cuina i vida (2a edició);Parellada, Ada;26,50 €;37;Romántica
Contes;Faulkner, William;29,50 €;38;Fantasía
Història d'una obra mestra;James, Henry;13,00 €;39;Fantasía
La distància que ens separa;O’Farrell, Maggie;22,95 €;40;Romántica
Baumgartner;Auster, Paul;20,90 €;41;Aventuras
Vull fer-te algunes preguntes;Makkai, Rebecca;23,90 €;42;Aventuras
Cuinar el Mediterrani;Roca, Joan / Brugués, Salvador;23,90 €;43;Distopía
El dic. Blackwater II;McDowell, Michael;9,90 €;44;Novela histórica
Estimat idiota;Olivé, Cristian;21,90 €;45;
Veus de mort als Encants Vells;Lagarda-Mata, Sylvia;20,90 €;46;Novela histórica
Confeti;Puntí, Jordi;21,90 €;47;Ciencia ficción
Calls al gest;Rotger Miró, Damià;17,00 €;48;Contemporáneo
El radar americà;Altaió, Vicenç;26,00 €;49;Romántica
Marxarons;Masanés, Cristina;11,00 €;50;Aventuras
Tot el que no sigui morir-se;Sarrats, Marc;19,90 €;51;Contemporáneo
La Germandat de l'Àngel Caigut;Clotet, Jaume;21,50 €;52;Novela negra, thriller o suspense.
La riuada. Blackwater I;McDowell, Michael;9,90 €;53;Aventuras
Cor trencat;Blay, Pep;24,00 €;54;Romántica
Els nostres objectes de cada dia;Espinàs, Josep M.;18,90 €;55;Distopía
